epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8346,3.02641,5.38181,4.16668,0,0,0,0,2.70555,4.17217,4.03401,0.000109832,0.000109832,0.000109832
2,33.8939,2.93599,5.28598,3.97654,0.01949,0.03114,0.01126,0.0034,2.58009,3.97951,3.5066,0.000216459,0.000216459,0.000216459
3,49.427,2.8006,5.19465,3.60203,0.00083,0.29299,0.00253,0.00078,2.6013,3.88408,3.28505,0.000318691,0.000318691,0.000318691
4,64.3715,2.6663,5.05101,3.28358,0.00209,0.48875,0.01041,0.00282,2.51109,3.92398,3.18278,0.00031322,0.00031322,0.00031322
5,79.6269,2.42674,4.84222,2.97841,0.00485,0.73819,0.02651,0.00899,2.19401,3.64842,2.94784,0.000306626,0.000306626,0.000306626
6,95.2266,2.2488,4.61497,2.74618,0.00675,0.87502,0.06008,0.02401,1.953,3.38203,2.61235,0.000300033,0.000300033,0.000300033
7,110.886,2.09289,4.4054,2.57994,0.24376,0.29659,0.07475,0.03558,2.08505,3.27659,2.64179,0.00029344,0.00029344,0.00029344
8,127.503,1.96237,4.18345,2.43548,0.21185,0.23425,0.10996,0.05534,1.76858,3.06692,2.32682,0.000286846,0.000286846,0.000286846
9,141.991,1.87166,4.03219,2.35221,0.36043,0.22469,0.13368,0.07284,1.7196,2.93864,2.22932,0.000280253,0.000280253,0.000280253
10,156.859,1.78221,3.90848,2.28515,0.30395,0.23372,0.15259,0.08292,1.65417,2.83339,2.17094,0.000273659,0.000273659,0.000273659
11,172.4,1.73646,3.81446,2.20532,0.18184,0.36042,0.18205,0.10508,1.50505,2.65798,2.01298,0.000267066,0.000267066,0.000267066
12,187.698,1.67321,3.68332,2.13313,0.23033,0.29607,0.19454,0.10335,1.78068,2.71398,2.25541,0.000260473,0.000260473,0.000260473
13,203.681,1.64055,3.60216,2.11108,0.21393,0.4723,0.20477,0.12705,1.42498,2.68817,1.92369,0.000253879,0.000253879,0.000253879
14,218.347,1.57824,3.4975,2.06834,0.21972,0.45167,0.28138,0.17861,1.22429,2.44924,1.82025,0.000247286,0.000247286,0.000247286
15,233.751,1.56186,3.42861,2.0252,0.26353,0.52574,0.27743,0.17792,1.38675,2.3987,1.86734,0.000240692,0.000240692,0.000240692
